Title,Description
100 tabs lsd 100ug,"High quality LSD.

Print: Fractal Storm.

Each tab contains 100ug of LSD.


ADDRESS FORMAT:

Name
Street address
City, Province, Postal code

Example:
Penile Fractures
1098 Beacon St
Ottawa ON M7H 4J5..."
80x 3mg x2 xanax pfizer pharmaceuticals,The X2 is most known in countries within Europe and the UK.  This xanax bar packs a punch of 3mg of alprazolam per bar.  They are solid and do not break easily. They are a solid white with no specks o...
5g top quality dutch champagne crystals 84%,"TOP QUALITY Dutch Champagne Crystals 84%

Pure white MDMA fluffy crystals. White, Shiny and Pure. Goes straight to
black on Marquis and takes you to a higher level. Enjoy


High quality Dutch MDMA. Th..."
♡ cheap price  ♡ ++ 5gr donjuan cocaine,"HIGH PURITY COCAINE

#  Strong Colombian Cocaine
#  Pure top quality
#  Bigger quantities in rocks
#  Lab tested at 91%
#  European shipping only

-----------------------------------------------------..."
70 percocet  oxycodone/acetaminophen  5/325mg,"70  Percocet  Oxycodone/Acetaminophen  5/325mg 512

70 pills listing would cost you $9.8 a pill.

Buy more to get cheaper. 
If you buy 140 pills listing, it will cost you $7.9 a pill.
If you buy 280 p..."
xanax combo pack - explore all our bars 100x - 3mg,"Explore all our Xanax Bars:

Xanax / Alprazolam (3MG) Pills (GG249 BARS)

Original manufacturer: Sandoz Pharmaceuticals

Xanax Alprazolam (3MG) Pills (S903 BARS) - Green Hulk

Original manufacturer: D..."
1g glueberry og / 50/50 hybrid / dreamweaver,"!!COVID-19 SITUATION UDPATED!!!
Please read our TandCs update before you buy!!

For newest information, working hours, covid and delivery updates, subscribe to our fast growing DreamWeaver sub-dread

..."
2 gr crystal meth ice aaa+ 90%,★ CRYSTAL METH ICE AAA+ 90%  ( NEW BATCH )
buy dirty/stolen btc for cheap and gain profit,"Invite Codes for registration on DirtyCoins.cc

DirtyCoins.cc is a crypto exchange where you can buy 'dirty' Bitcoin (earned from blackhat activities, or acquired through hacking/stealing, or even dee..."
brown heroin #4 (5g) us to us. *free shipping*,"BROWN HEROIN #4 (5G) US to US. *FREE SHIPPING*
VERY STRONG!!"
