Title,Description
mathworks matlab 2023,"MathWorks MATLAB 
2023a v. 9.8.0.132350
WINDOWS


Release Date : 7 April 2023
Size : 20 GB

MATLAB is an all in one software which has so many features that are hard to count. It was named as an onlin..."
phishing collection,"Phishing Collection

Alibaba Group 
Wells Fargo Online Banking 
Generic  Email Login 
Generic  File Sharing 
Generic  Email Login 
Apple iCloud Login 
Dropbox 
CapitalOne Online Banking 
Amazon 
Apple..."
solidworks 2023 premium sp 01,"SOLIDWORKS Premium 2023 
 Dassault Systems 
v. SP 01




 Release Date : November 2023
 www.solidworks.com



Solidworks provides the breadth of tools to tackle the most complex problems, and the dept..."
cutlet maker atm malware,"THE INFAMOUS CUTLET MAKER CASHOUT MALWARE.UPDATED

ALL TOOLS INCLUDED (STIMULATOR,CODEGEN,INSTRUCTIONS)

WORKS ON DIEBOLD-NCR-WINCOR"
cutlet maker v2 - no usb access required,"FC ATM Jackpotting Malware.
Works at Wincor CS and DN models with NFC support (WORLDWIDE).
Withdraws all cassettes one-by-one.
DOESN'T REQUIRE USB ACCESS OR ANY PHYSICAL INSIDE ACCESS.

Injects using ..."
"wifi jammer pack - device, soft, tutorials","------ WiFI Jammer Pack ------

A nice little device to play with.

In this pack you'll have all what you need to :
- Scan for WiFi devices.
- Disconnect devices from their WiFi network.
- Disable wir..."
4 tresser full source code,4 TRESSER FULL SOURCE CODE
ddos of death,This a python script with over 5000 lines of python code the script creates unique get and syn requests and heavy data packets from your botnets making it near imposible for any security system to cat...
valhalla dsp bundle 2023,"------ Valhalla DSP Bundle 2023 -------
AAX, RTAS, VST3, VST
WINDOWS Win32/64

Release Date : May 2023
https://valhalladsp.com

--- Included:
- ValhallaFreqEcho v1.0.5 - free freqshifter delay
- Valha..."
microsoft visual studio 2023 enterprise,Microsoft Visual Studio 2023 Enterprise
private malware-dropper - full source code,"a system infection in C Sharp .Net 4.0
Selects random paths and work build name
Startup via task scheduler and registry
Protection against debugger and dotMemory virtual machines
Random byte increment..."
private changer-multiclipper full source code,"Changer MultiClipper

Written in .Net 4.0 build weight is only 35-40kb.

    Bitcoin
    Etherium
    LiteCoin
    Monero
    Visa  - Master Card
    Payeer
    QIWI - Phone number, piggy bank links a..."
